id,enabled,installdat,type,elevation,watertype,jointtype,material,diameter1,diameter2,rotation,modelid,comment,status,mfg,megalugmfg,megalugmdl,fitangle,surveyelev,globalid,creator,creationda,editdate,editor,newt,northing,easting,icon_url
"4081",Yes,,Bend,4696.009,Potable,Restraint,DuctileIron,"6","6","0",FIT3813,,Active,Tyler,Star,"3000",22 1/2,,e4eea8a2-b0ec-4cf6-99c6-d30bbd57a57f,lkoons,2019/02/13,2019/02/13,lkoons,,1404354.56987773,3198265.89153613,./0.png
"4082",Yes,,Coupling,4696.271,Potable,Gasket,DuctileIron,"6","6","0",FIT3814,,Active,Powerseal,,,,,e45548a7-7813-4cd5-aafb-97f8e339f951,lkoons,2019/02/13,2019/02/13,lkoons,,1404319.4091869,3198192.41924214,./0.png
"4083",Yes,,Tee,0,Potable,Mechanical,Unknown,"10","10","0",FIT3815,,Active,,,,,,612fede8-ce56-4aeb-8167-6ca6461f77cf,lkoons,2019/02/13,2019/02/13,lkoons,,1428939.3635558,3185736.91298522,./0.png
"4084",Yes,,Reducer,0,Potable,Mechanical,DuctileIron,"8","2","270",FIT3816,,Active,,,,,,0aaef1a7-fba8-4c77-905a-cc10b748ecbb,lkoons,2019/02/13,2019/02/13,lkoons,,1428921.22874956,3185756.16032206,./0.png
"4085",Yes,,Tee,0,Potable,Mechanical,Unknown,"10","10","180",FIT3817,,Active,,,,,,2bb973b0-5cf7-4868-b57f-08ebc82f081e,lkoons,2019/02/13,2019/02/13,lkoons,,1428938.56565714,3185755.87488955,./0.png
"4086",Yes,,Bend,5182.724,Potable,Mechanical,DuctileIron,"4","4","0",FIT3818,,Active,Tyler,Ford,1500S,"90",,07ee4b03-c650-4b8a-9e89-dd478e41b149,lkoons,2019/02/13,2019/02/13,lkoons,,1472283.6453054,3156248.50903563,./0.png
"4087",Yes,,Tee,5180.639,Potable,Mechanical,DuctileIron,"4","2","180",FIT3819,,Active,Tyler,Ford,1500S,,,60a0ac30-89c6-447a-a574-9d098ccc2469,lkoons,2019/02/13,2019/02/13,lkoons,,1472286.05999872,3156208.95858981,./0.png
"4088",Yes,,Tee,0,Potable,Other,AC,"16","16","90",FIT3820,,Active,,,,,,b79dc202-197d-4217-b3b9-500392b2f32a,lkoons,2019/02/13,2019/02/13,lkoons,,1449980.47665723,3169813.78308614,./0.png
"4089",Yes,,Coupling,4695.171,Potable,Gasket,PVC,"2","2","0",FIT3821,,Retired,,,,,,bd624c78-44fe-4d2d-ba5a-e6d898a40a78,lkoons,2019/02/13,2019/02/13,lkoons,,1406673.55966231,3198286.10835922,./0.png
"4090",Yes,,Coupling,4695.168,Potable,Gasket,PVC,"2","2","0",FIT3822,,Retired,,,,,,40706646-4734-4f52-98d5-e5c7711a00fc,lkoons,2019/02/13,2019/02/13,lkoons,,1406671.24273781,3198286.04799189,./0.png
