id,enabled,installdat,type,elevation,watertype,diameter,rotation,tracerwire,modelid,comment,status,openleft,curopen,turnsclose,mfg,megalugmfg,megalugmdl,surveyelev,globalid,creationda,creator,editdate,editor,newt,northing,easting,icon_url
"846",Yes,,Gate,4735.2,Potable,"4","10",No,V579,,Active,Yes,Yes,"15",,,,,605f5254-d38a-4d31-82c5-913de194a4ee,2019/02/13,lkoons,2019/02/13,lkoons,,3228584.41554464,1418299.01082081,./0.png
"847",Yes,,Gate,4735.82,Potable,"8","100",No,V580,,Active,Yes,Yes,"26",,,,,11bbac3e-30d4-4af7-a7fc-ccacc2c57bb4,2019/02/13,lkoons,2019/02/13,lkoons,,3228583.01397264,1418302.41042031,./0.png
"848",Yes,,Gate,4735.63,Potable,"8","100",No,V581,,Active,Yes,Yes,"26",,,,,97c864b6-ec53-480c-af18-10ce7f2d2b72,2019/02/13,lkoons,2019/02/13,lkoons,,3228581.34730931,1418297.32151973,./0.png
"849",Yes,,Gate,4739.48,Potable,"8","85",No,V582,,Active,Yes,Yes,"25",,,,,03c56307-a03a-4281-aca6-c76e394173f7,2019/02/13,lkoons,2019/02/13,lkoons,,3228567.08552681,1419357.76788965,./0.png
"850",Yes,,Gate,4739.98,Potable,"8","85",No,V583,,Active,Yes,Yes,"25",,,,,f5523130-0a02-40f6-bb34-94dfba35a59e,2019/02/13,lkoons,2019/02/13,lkoons,,3228565.73251113,1419375.67303756,./0.png
"851",Yes,,Gate,4758.56,Potable,"8","90",No,V584,,Active,Yes,Yes,"25",,,,,77c3959d-dc8f-41df-b32c-9daa3eb20415,2019/02/13,lkoons,2019/02/13,lkoons,,3228539.69647397,1423464.73736598,./0.png
"852",Yes,,Gate,4759.07,Potable,"8","0",No,V585,,Active,Yes,Yes,"25",,,,,ce8e2824-26ce-4dc5-89ca-6a5654e2e026,2019/02/13,lkoons,2019/02/13,lkoons,,3228540.27980614,1423542.12238181,./0.png
"853",Yes,,Gate,4758.24,Potable,"6","0",No,V586,,Active,Yes,Yes,"20",,,,,4826749f-b9ef-492d-a6b1-d738ece15c98,2019/02/13,lkoons,2019/02/13,lkoons,,3228538.57508513,1423552.94552289,./0.png
"854",Yes,,Gate,4709.73,Potable,"6","0",No,V587,,Active,Yes,Yes,"20",,,,,46a32d88-872e-49bc-9cf3-d2604f80f2ce,2019/02/13,lkoons,2019/02/13,lkoons,,3226082.83491789,1410915.92322481,./0.png
"855",Yes,,Gate,4903.17,Potable,"4","90",No,V588,,Active,Yes,Yes,"15",,,,,1b7b7019-cfa3-4d80-8d28-60d97a799284,2019/02/13,lkoons,2019/02/13,lkoons,,3253504.77154373,1452845.74815765,./0.png
"856",Yes,,Butterfly,4940.5,Potable,"20","0",No,V589,,Active,Yes,Yes,"0",,,,,f3611483-5fdb-40d7-866c-0bad5df50674,2019/02/13,lkoons,2019/02/13,lkoons,,3175167.14377047,1442142.01234731,./0.png
"857",Yes,,Gate,4941.77,Potable,"12","165",No,V590,,Active,Yes,Yes,"40",,,,,563380e2-8954-48df-a1a0-95b27558d2ff,2019/02/13,lkoons,2019/02/13,lkoons,,3175162.19660188,1442143.52087447,./0.png
"858",Yes,,Gate,4908.7,Potable,"2","90",No,V591,,Active,Yes,No,"8",,,,,df81771f-fc50-4838-8aa0-8e83a2858c0a,2019/02/13,lkoons,2019/02/13,lkoons,,3257367.66145572,1450226.35969564,./0.png
"859",Yes,,Gate,4872.93,Potable,"6","90",No,V592,,Active,Yes,Yes,"20",,,,,a56cef55-f83e-4089-a3d0-9bd9b1467719,2019/02/13,lkoons,2019/02/13,lkoons,,3254837.37058455,1450234.03094015,./0.png
"860",Yes,,Gate,4872.88,Potable,"6","0",No,V593,,Active,Yes,Yes,"20",,,,,1a75ad2b-64a3-4d72-ad07-567f48b94b46,2019/02/13,lkoons,2019/02/13,lkoons,,3254835.28791155,1450232.70843622,./0.png
"861",Yes,,Gate,4682.39,Potable,"6","0",No,V594,,Retired,Yes,Yes,"20",,,,,3b6f216a-6a9f-48cf-93be-77da556a74c8,2019/02/13,lkoons,2019/02/13,lkoons,,3260268.52770121,1410659.74230672,./0.png
"862",Yes,,Gate,4682.5,Potable,"6","0",No,V595,,Retired,Yes,Yes,"20",,,,,321ed01c-fd86-4255-9f69-ea7a556e92f5,2019/02/13,lkoons,2019/02/13,lkoons,,3260267.82232206,1410677.52442339,./0.png
"863",Yes,,Gate,4682.58,Potable,"8","90",No,V596,,Retired,Yes,Yes,"26",,,,,71f17a19-55aa-4a0b-a5f4-e5b7f16d680b,2019/02/13,lkoons,2019/02/13,lkoons,,3260269.34790955,1410669.48638172,./0.png
"864",Yes,,Gate,4769.64,Potable,"4","35",No,V597,,Active,Yes,Yes,"15",,,,,219dbda0-b24c-478a-bfed-3c08b1367f1d,2019/02/13,lkoons,2019/02/13,lkoons,,3233821.3840733,1434574.23548815,./0.png
"865",Yes,,Gate,4775.93,Potable,"10","0",No,V598,,Active,Yes,Yes,"30",,,,,ff7c17b5-4aa8-42d9-bb60-8b97836a949c,2019/02/13,lkoons,2019/02/13,lkoons,,3233931.09678039,1434615.88337073,./0.png
"866",Yes,,Gate,4773.92,Potable,"2","90",No,V599,,Active,Yes,Yes,"8",,,,,e256a976-66fd-4a1f-a227-46cce7655335,2019/02/13,lkoons,2019/02/13,lkoons,,3233850.40698114,1434544.89401139,./0.png
"867",Yes,,Gate,4768.05,Potable,"2","0",No,V600,,Active,Yes,No,"8",,,,,b32ff63e-6382-4a39-9e95-45d0b1fb71bf,2019/02/13,lkoons,2019/02/13,lkoons,,3233908.36749513,1431874.28222664,./0.png
"868",Yes,,Gate,4767.43,Potable,"2","0",No,V601,,Active,Yes,Yes,"8",,,,,7b4ca2fb-0c72-4693-b53e-df36a6708196,2019/02/13,lkoons,2019/02/13,lkoons,,3233903.76940723,1431960.41033523,./0.png
"869",Yes,,Gate,4871.69,Potable,"4","90",No,V602,,Active,Yes,Yes,"15",,,,,baf8da66-3281-4a5b-bdea-ebae14de1b20,2019/02/13,lkoons,2019/02/13,lkoons,,3254754.02363838,1450246.46890739,./0.png
"870",Yes,,Gate,4871.69,Potable,"2.5","90",No,V603,,Active,Yes,Yes,"8",,,,,aeeacb17-e4de-4a25-9592-524236becdfa,2019/02/13,lkoons,2019/02/13,lkoons,,3254739.59551764,1450216.15466356,./0.png
"871",Yes,,Gate,4871.78,Potable,"2","0",No,V604,,Active,Yes,No,"8",,,,,122c66b0-489a-4679-9e1c-618f5d47d070,2019/02/13,lkoons,2019/02/13,lkoons,,3254742.34649639,1450214.24456239,./0.png
"872",Yes,,Gate,4819.82,Potable,"6","0",No,V605,,Active,Yes,Yes,"20",,,,,c35b285a-d945-4d54-bb05-1c89472cc192,2019/02/13,lkoons,2019/02/13,lkoons,,3254791.03537539,1442333.74785623,./0.png
"873",Yes,,Gate,4815.24,Potable,"4","0",No,V606,,Active,Yes,Yes,"15",,,,,580c8503-4d2b-48af-a3f0-ef7ab1484ba7,2019/02/13,lkoons,2019/02/13,lkoons,,3254793.24304813,1441760.78673181,./0.png
"874",Yes,,Gate,4817.22,Potable,"2","90",No,V607,,Retired,Yes,Yes,"8",,,,,86995a89-993d-42f3-9d21-4d79be72e20c,2019/02/13,lkoons,2019/02/13,lkoons,,3254829.66259472,1441763.53213315,./0.png
"875",Yes,,Gate,4806.69,Potable,"3","0",No,V608,,Retired,Yes,No,"15",,,,,c43b7aef-23fe-4678-b21c-9a85e52a5f91,2019/02/13,lkoons,2019/02/13,lkoons,,3254802.60785881,1439740.58112656,./0.png
"876",Yes,,Gate,4809.05,Potable,"10","0",No,V609,,Active,Yes,Yes,"32",,,,,2615da45-b973-4ae5-8c5a-39fb1fe0a9d2,2019/02/13,lkoons,2019/02/13,lkoons,,3254788.09115556,1439713.95617981,./0.png
"877",Yes,,Gate,4805.91,Potable,"6","0",No,V610,,Active,Yes,Yes,"26",,,,,3f0665ce-7c33-4e16-a204-91e886d57aa1,2019/02/13,lkoons,2019/02/13,lkoons,,3254784.59378722,1439630.28180648,./0.png
"878",Yes,,Gate,4766.73,Potable,"10","90",No,V611,,Active,Yes,Yes,"32",,,,,e3ffe3c8-0317-4e69-b357-a2c7ce56e9ae,2019/02/13,lkoons,2019/02/13,lkoons,,3254776.65482672,1435281.69076614,./0.png
"879",Yes,,Gate,4766.03,Potable,"6","0",No,V612,,Active,Yes,Yes,"20",,,,,f90b8d89-fa5f-4220-a4ba-ed1c392e3a1a,2019/02/13,lkoons,2019/02/13,lkoons,,3254777.68041523,1435278.22194105,./0.png
"880",Yes,,Gate,4764.87,Potable,"6","90",No,V613,,Active,Yes,Yes,"20",,,,,909122f2-c461-40a9-9b13-a778bb417062,2019/02/13,lkoons,2019/02/13,lkoons,,3254737.90096722,1434412.26862048,./0.png
"881",No,,Gate,4820.91,Potable,"2","90",No,V614,,Retired,Yes,No,"8",,,,,fe53efe5-b589-4fe5-bcef-6582badc8784,2019/02/13,lkoons,2019/02/13,lkoons,,3254823.92704189,1442350.63299306,./0.png
