X,Y,id,enabled,installdat,type,elevation,watertype,diameter,comment,model,status,mfg,surveyelev,globalid,creationda,creator,editdate,editor,icon_url
-104.906978351004,40.5890103848573,ARV21,Yes,,Auto,5205.22,Potable,"2.5",,,Active,,,83408f05-0c6f-4a6e-bcc5-1f0b4bb3b3c0,2020/08/28,lkoons,2020/08/28,lkoons,./0.png
-104.861493653409,40.5233446437429,ARV22,Yes,,Manual,0,Potable,"1",,,Active,,,f97683dc-0e74-40f3-a5be-f991d407152f,2020/08/28,lkoons,2020/08/28,lkoons,./0.png
-104.931168739054,40.534655115702,ARV23,Yes,,Manual,5264.88,Potable,"1",,,Active,,,ab3bb18c-3601-4dc8-b316-bfc74cc49a49,2020/08/28,lkoons,2020/08/28,lkoons,./0.png
-104.884174524993,40.5525169054635,ARV24,Yes,,Manual,5020.27,Potable,"20",,,Active,,,3cfea618-c89d-45bc-86a6-fe5367301ff6,2020/08/28,lkoons,2020/08/28,lkoons,./0.png
-104.979750624676,40.5807899773701,ARV25,Yes,,Manual,4967.28,Potable,"24",,,Active,,,7e6fd8af-1fca-49a4-b8d5-ab6e60511f56,2020/08/28,lkoons,2020/08/28,lkoons,./0.png
-104.927139369249,40.5814285970074,ARV26,Yes,,Manual,5053.08,Potable,"1",,,Active,,,430b9648-813e-42a1-b9bd-0da4e59ba10b,2020/08/28,lkoons,2020/08/28,lkoons,./0.png
-104.93178787555,40.5812324741253,ARV27,Yes,,Manual,5042.4,Potable,"24",,,Active,,,6fe11702-ad9d-4343-a302-10ddbc791ceb,2020/08/28,lkoons,2020/08/28,lkoons,./0.png
-104.938686441184,40.5809562957477,ARV28,Yes,,Manual,5031.35,Potable,"1",,,Active,,,26183042-2f02-406e-acbe-1b5018857aa0,2020/08/28,lkoons,2020/08/28,lkoons,./0.png
-104.9625332282,40.5808465886371,ARV29,Yes,,Manual,4999.62,Potable,"24",,,Active,,,d54562bb-0b00-43e3-ba5b-8f10d2727182,2020/08/28,lkoons,2020/08/28,lkoons,./0.png
-104.971400780083,40.5811497875136,ARV30,Yes,,Manual,4975.93,Potable,"24",,,Active,,,500fb66b-b1aa-4840-a5ad-810a15b701bf,2020/08/28,lkoons,2020/08/28,lkoons,./0.png
